iter	Passed	Remaining
421	2389	3272
422	2395	3267
423	2400	3261
424	2406	3255
425	2411	3249
426	2416	3243
427	2421	3236
428	2427	3230
429	2432	3224
430	2437	3218
431	2442	3211
432	2447	3205
433	2452	3198
434	2458	3192
435	2463	3186
436	2468	3179
437	2474	3174
438	2479	3168
439	2484	3162
440	2490	3156
441	2495	3150
442	2501	3144
443	2507	3140
444	2512	3134
445	2519	3129
446	2524	3123
447	2529	3116
448	2535	3111
449	2540	3105
450	2545	3098
451	2551	3092
452	2556	3086
453	2561	3080
454	2567	3074
455	2573	3070
456	2580	3065
457	2586	3060
458	2592	3055
459	2613	3068
460	2620	3063
461	2626	3058
462	2632	3053
463	2637	3047
464	2643	3041
465	2649	3036
466	2654	3030
467	2661	3025
468	2667	3019
469	2672	3013
470	2678	3008
471	2684	3003
472	2690	2997
473	2695	2991
474	2701	2986
475	2708	2981
476	2713	2975
477	2719	2969
478	2724	2963
479	2730	2958
480	2736	2952
481	2742	2946
482	2747	2940
483	2753	2935
484	2759	2929
485	2765	2924
486	2771	2919
487	2777	2913
488	2783	2908
489	2789	2903
490	2797	2899
491	2802	2894
492	2808	2888
493	2816	2884
494	2823	2880
495	2830	2875
496	2836	2870
497	2841	2864
498	2847	2859
499	2854	2854
500	2860	2849
501	2866	2843
502	2872	2838
503	2877	2832
504	2883	2826
505	2889	2821
506	2895	2815
507	2901	2810
508	2919	2816
509	2925	2810
510	2930	2804
511	2936	2798
512	2941	2792
513	2947	2787
514	2953	2781
515	2959	2775
516	2964	2769
517	2970	2763
518	2976	2758
519	2982	2753
520	2988	2747
521	2994	2742
522	3001	2737
523	3007	2732
524	3013	2726
525	3020	2721
526	3026	2716
527	3032	2710
528	3037	2704
529	3044	2699
530	3049	2693
531	3055	2687
532	3061	2682
533	3066	2675
534	3072	2670
535	3077	2664
536	3083	2658
537	3089	2652
538	3095	2647
539	3101	2642
540	3108	2637
541	3114	2632
542	3122	2628
543	3128	2622
544	3134	2616
545	3140	2611
546	3146	2605
547	3152	2599
548	3158	2594
549	3164	2589
550	3170	2583
551	3176	2577
552	3182	2572
553	3187	2566
554	3193	2560
555	3200	2555
556	3206	2550
557	3213	2545
558	3218	2539
559	3224	2533
560	3229	2527
561	3235	2521
562	3241	2516
563	3247	2510
564	3252	2504
565	3258	2498
566	3263	2492
567	3269	2486
568	3275	2480
569	3280	2475
570	3286	2469
571	3292	2463
572	3298	2458
573	3304	2452
574	3309	2446
575	3315	2440
576	3321	2435
577	3326	2429
578	3332	2422
579	3337	2417
580	3344	2411
581	3350	2406
582	3358	2402
583	3365	2397
584	3371	2391
585	3377	2386
586	3383	2380
587	3389	2374
588	3394	2368
589	3400	2362
590	3405	2356
591	3411	2351
592	3417	2345
593	3423	2339
594	3428	2333
595	3434	2328
596	3440	2322
597	3446	2316
598	3452	2311
599	3458	2305
600	3465	2300
601	3471	2295
602	3477	2289
603	3483	2283
604	3489	2278
605	3495	2272
606	3501	2266
607	3506	2261
608	3513	2255
609	3519	2250
610	3525	2244
611	3531	2238
612	3536	2232
613	3541	2226
614	3547	2220
615	3552	2214
616	3558	2208
617	3564	2203
618	3570	2197
619	3576	2191
620	3582	2186
621	3588	2180
622	3594	2174
623	3600	2169
624	3609	2165
625	3614	2159
626	3620	2153
627	3625	2147
628	3630	2141
629	3636	2135
630	3642	2130
631	3648	2124
632	3654	2118
633	3659	2112
634	3665	2107
635	3671	2101
636	3677	2095
637	3683	2090
638	3689	2084
639	3695	2078
640	3701	2073
641	3707	2067
642	3713	2061
643	3718	2055
644	3724	2049
645	3730	2044
646	3736	2038
647	3741	2032
648	3747	2026
649	3752	2020
650	3758	2014
651	3763	2008
652	3769	2003
653	3775	1997
654	3780	1991
655	3786	1985
656	3793	1980
657	3801	1975
658	3807	1970
659	3814	1965
660	3820	1959
661	3826	1953
662	3833	1948
663	3841	1943
664	3848	1938
665	3855	1933
666	3865	1929
667	3871	1924
668	3878	1918
669	3884	1913
670	3890	1907
671	3896	1902
672	3902	1896
673	3909	1890
674	3915	1885
675	3921	1879
676	3927	1874
677	3934	1868
678	3940	1862
679	3946	1857
680	3952	1851
681	3958	1845
682	3963	1839
683	3969	1833
684	3975	1828
685	3981	1822
686	3987	1816
687	3993	1810
688	3999	1805
689	4006	1799
690	4012	1794
691	4017	1788
692	4024	1782
693	4031	1777
694	4036	1771
695	4042	1765
696	4049	1760
697	4055	1754
698	4061	1748
699	4067	1743
700	4073	1737
701	4079	1731
702	4085	1725
703	4091	1720
704	4097	1714
705	4103	1708
706	4109	1703
707	4115	1697
708	4121	1691
709	4127	1686
710	4133	1680
711	4140	1674
712	4146	1669
713	4153	1663
714	4159	1658
715	4166	1652
716	4172	1646
717	4177	1640
718	4183	1635
719	4189	1629
720	4195	1623
721	4201	1617
722	4208	1612
723	4214	1606
724	4221	1601
725	4227	1595
726	4233	1589
727	4239	1583
728	4244	1577
729	4250	1572
730	4257	1566
731	4263	1561
732	4270	1555
733	4276	1549
734	4283	1544
735	4289	1538
736	4295	1532
737	4301	1527
738	4307	1521
739	4313	1515
740	4320	1509
741	4325	1504
742	4332	1498
743	4338	1492
744	4345	1487
745	4352	1481
746	4358	1476
747	4364	1470
748	4370	1464
749	4377	1459
750	4383	1453
751	4389	1447
752	4396	1441
753	4402	1436
754	4407	1430
755	4414	1424
756	4421	1419
757	4428	1413
758	4436	1408
759	4442	1402
760	4447	1396
761	4453	1390
762	4458	1384
763	4463	1378
764	4469	1372
765	4474	1367
766	4480	1361
767	4485	1355
768	4490	1348
769	4496	1343
770	4501	1337
771	4507	1331
772	4514	1325
773	4520	1319
774	4527	1314
775	4533	1308
776	4539	1302
777	4546	1297
778	4551	1291
779	4558	1285
780	4563	1279
781	4568	1273
782	4574	1267
783	4579	1261
784	4584	1255
785	4590	1249
786	4596	1243
787	4602	1238
788	4607	1232
789	4614	1226
790	4620	1220
791	4626	1214
792	4631	1208
793	4636	1202
794	4641	1196
795	4647	1191
796	4653	1185
797	4658	1179
798	4664	1173
799	4669	1167
800	4675	1161
801	4681	1155
802	4687	1149
803	4693	1144
804	4700	1138
805	4707	1132
806	4714	1127
807	4721	1121
808	4728	1116
809	4735	1110
810	4743	1105
811	4750	1099
812	4756	1094
813	4764	1088
814	4773	1083
815	4782	1078
816	4789	1072
817	4796	1067
818	4804	1061
819	4811	1056
820	4820	1050
821	4826	1045
822	4832	1039
823	4838	1033
824	4845	1027
825	4852	1022
826	4858	1016
827	4864	1010
828	4871	1004
829	4878	999
830	4884	993
831	4891	987
832	4912	984
833	4919	979
834	4926	973
835	4931	967
836	4939	961
837	4945	956
838	4952	950
839	4958	944
840	4965	938
841	4972	933
842	4978	927
843	4985	921
844	4992	915
845	4998	909
846	5005	904
847	5012	898
848	5018	892
849	5024	886
850	5031	880
851	5037	875
852	5044	869
853	5050	863
854	5057	857
855	5064	851
856	5071	846
857	5078	840
858	5084	834
859	5090	828
860	5097	822
861	5104	817
862	5111	811
863	5117	805
864	5124	799
865	5130	793
866	5136	787
867	5143	782
868	5149	776
869	5155	770
870	5161	764
871	5168	758
872	5175	752
873	5182	747
874	5189	741
875	5195	735
876	5202	729
877	5209	723
878	5216	718
879	5222	712
880	5229	706
881	5235	700
882	5241	694
883	5245	688
884	5251	682
885	5257	676
886	5264	670
887	5270	664
888	5277	658
889	5283	652
890	5289	647
891	5295	641
892	5302	635
893	5309	629
894	5316	623
895	5322	617
896	5328	611
897	5335	606
898	5336	599
899	5343	593
900	5349	587
901	5356	582
902	5364	576
903	5371	570
904	5377	564
905	5384	558
906	5391	552
907	5398	547
908	5406	541
909	5412	535
910	5419	529
911	5426	523
912	5433	517
913	5440	511
914	5447	506
915	5454	500
916	5461	494
917	5468	488
918	5476	482
919	5482	476
920	5490	470
921	5496	465
922	5503	459
923	5510	453
924	5517	447
925	5523	441
926	5530	435
927	5536	429
928	5542	423
929	5548	417
930	5554	411
931	5560	405
932	5567	399
933	5573	393
934	5579	387
935	5586	381
936	5592	376
937	5599	370
938	5606	364
939	5612	358
940	5620	352
941	5626	346
942	5632	340
943	5639	334
944	5646	328
945	5653	322
946	5659	316
947	5669	310
948	5675	304
949	5679	298
950	5685	292
951	5691	286
952	5697	280
953	5703	275
954	5710	269
955	5716	263
956	5722	257
957	5728	251
958	5735	245
959	5741	239
960	5748	233
961	5754	227
962	5761	221
963	5768	215
964	5775	209
965	5782	203
966	5789	197
967	5795	191
968	5802	185
969	5808	179
970	5814	173
971	5821	167
972	5828	161
973	5834	155
974	5840	149
975	5846	143
976	5852	137
