iter	Logloss
0	0.6869204595
1	0.6822737914
2	0.6767437275
3	0.671468588
4	0.6664917286
5	0.6615026181
6	0.6564246691
7	0.6520021145
8	0.6472427662
9	0.6409424268
10	0.6362802065
11	0.6312383505
12	0.6264695388
13	0.6212340135
14	0.6178662227
15	0.611911627
16	0.6074497516
17	0.6019731668
18	0.5969675137
19	0.5923122259
20	0.5872370647
21	0.5819476201
22	0.577329709
23	0.5722835247
24	0.5679740539
25	0.5628867516
26	0.5585363828
27	0.5539085682
28	0.5492358208
29	0.5447208698
30	0.5398368835
31	0.5354199776
32	0.5306904133
33	0.5265389956
34	0.5231051445
35	0.5187583336
36	0.5146137751
37	0.5109794323
38	0.5068564782
39	0.5024111821
40	0.4989920763
41	0.4957352418
42	0.4916945237
43	0.4883170495
44	0.4845187114
45	0.4802669012
46	0.4768279883
47	0.4729609856
48	0.4689453932
49	0.4657939764
50	0.4626097312
51	0.4590842174
52	0.4558652731
53	0.4528745505
54	0.4499274767
55	0.4470933034
56	0.443678269
57	0.440279227
58	0.4374392216
59	0.4347830552
60	0.4323448034
61	0.4287862778
62	0.4251457361
63	0.4224342566
64	0.4197461422
65	0.4173726302
66	0.4147787828
67	0.4127724354
68	0.4099957393
69	0.4071106544
70	0.4039330116
71	0.4019639675
72	0.3994957851
73	0.3968251668
74	0.3945057942
75	0.3911418548
76	0.3876948723
77	0.3855510858
78	0.3833581484
79	0.3807710501
80	0.3785051199
81	0.3762099193
82	0.3737580226
83	0.3712392954
84	0.3690709334
85	0.3668426
86	0.3645456021
87	0.3626436087
88	0.3602895737
89	0.3585097606
90	0.355857409
91	0.3536148805
92	0.3515460675
93	0.3491797447
94	0.3480881544
95	0.3456253639
96	0.3442284511
97	0.3421276899
98	0.3403484638
99	0.3384699455
100	0.3367524514
101	0.3344963514
102	0.3325857016
103	0.3307478978
104	0.3287289693
105	0.3269831584
106	0.325207857
107	0.3237234996
108	0.3219691056
109	0.3199294164
110	0.3181362886
111	0.3166964604
112	0.3146681419
113	0.3133715116
114	0.3117547402
115	0.3105697632
116	0.3087503727
117	0.3073716897
118	0.3055506303
119	0.3044407735
120	0.3025171573
121	0.3005396036
122	0.2991462121
123	0.2979157888
124	0.2962938089
125	0.2948896702
126	0.2934178022
127	0.2913872462
128	0.2899658863
129	0.2883774134
130	0.2867859327
131	0.2852958532
132	0.284230489
133	0.2831639143
134	0.2816575491
135	0.2801410968
136	0.2786390965
137	0.2770570058
138	0.2756669155
139	0.2743325417
140	0.2732056838
141	0.2719842104
142	0.2708634597
143	0.2696839113
144	0.2684620344
145	0.2671590035
146	0.2659449211
147	0.2646440359
148	0.263347534
149	0.2621155702
150	0.260988859
151	0.2595435106
152	0.2579971644
153	0.256943611
154	0.2555800401
155	0.2541257051
156	0.2527388793
157	0.2517900467
158	0.2508468628
159	0.2501445183
160	0.2489021191
161	0.2475203734
162	0.2466445519
163	0.2452074564
164	0.2440505028
165	0.2427862608
166	0.2416917728
167	0.2405238335
168	0.2397323755
169	0.2387807369
170	0.2377719512
171	0.2367672003
172	0.2355058193
173	0.2347613848
174	0.2336388368
175	0.2329176022
176	0.2319766558
177	0.2310713254
178	0.2302294144
179	0.2293131535
180	0.2281987484
181	0.2276102213
182	0.2267789474
183	0.2259397507
184	0.225094997
185	0.2242322335
186	0.2233099571
187	0.2222932302
188	0.2215138032
189	0.2207761911
190	0.2200622559
191	0.2190376795
192	0.2181891295
193	0.2174654007
194	0.2163256865
195	0.2156556386
196	0.2145905861
197	0.2140603799
198	0.2134321653
199	0.2124920808
200	0.2116069977
201	0.2112356699
202	0.2103535212
203	0.2095885093
204	0.2087626457
205	0.2079073282
206	0.2069354424
207	0.2060512946
208	0.2055430962
209	0.2048420539
210	0.203941712
211	0.203299339
212	0.2024608392
213	0.2017720296
214	0.2010019743
215	0.2002149362
216	0.1995963317
217	0.1988887237
218	0.1980951383
219	0.1973457887
220	0.1964275103
221	0.1958072552
222	0.1951816449
223	0.1945345585
224	0.1939077744
225	0.1932543241
226	0.1924127799
227	0.1918704326
228	0.1909877337
229	0.1903403722
230	0.189771964
231	0.1891637582
232	0.1886609334
233	0.1881158719
234	0.1875306643
235	0.1868976263
236	0.1862659088
237	0.1853971848
238	0.1847542983
239	0.184387207
240	0.1838650337
241	0.1832982944
242	0.1826350139
243	0.1820898056
244	0.1813409879
245	0.1807476741
246	0.1799042408
247	0.1790510691
248	0.1785396796
249	0.1779318956
250	0.1771348807
251	0.1767047552
252	0.1761854245
253	0.1755468662
254	0.1749749917
255	0.1743828333
256	0.173966151
257	0.1732682081
258	0.1726560593
259	0.1720140164
260	0.1715001877
261	0.1710494665
262	0.1703855441
263	0.169811799
264	0.1693483133
265	0.168974693
266	0.1684849262
267	0.1678551527
268	0.1673624699
269	0.1667542641
270	0.1662904299
271	0.1658071738
272	0.165212833
273	0.1646426641
274	0.1642371324
275	0.1637455867
276	0.1634129194
277	0.1630494044
278	0.1625515498
279	0.1620159883
280	0.1613852061
281	0.1608643532
282	0.1605549225
283	0.1601734528
284	0.1596275843
285	0.1591972204
286	0.1586454832
287	0.1581280048
288	0.1577330369
289	0.1573370787
290	0.1567387214
291	0.1562322837
292	0.1557487341
293	0.1552739694
294	0.1550314977
295	0.1544851523
296	0.1540366686
297	0.1535789691
298	0.1531687883
299	0.1527093924
300	0.1521338408
301	0.1517676757
302	0.1512798896
303	0.1508834362
304	0.1503488651
305	0.1497886914
306	0.1493178514
307	0.1488928887
308	0.1484518326
309	0.1478983989
310	0.1475518392
311	0.1470189461
312	0.1466979705
313	0.1462660294
314	0.1458486685
315	0.1454751492
316	0.1451031978
317	0.1447546757
318	0.1444224211
319	0.1439883526
320	0.1436667351
321	0.1432846968
322	0.1427769294
323	0.1424733309
324	0.1420301749
325	0.1415950977
326	0.1412026057
327	0.1409090299
328	0.1403810336
329	0.139860034
330	0.1395335289
331	0.1390629181
332	0.1385648067
333	0.1381627138
334	0.1377024834
335	0.137456573
336	0.1371064094
337	0.1367712021
338	0.1365194137
339	0.1361166606
340	0.1356080587
341	0.1352860928
342	0.1349951671
343	0.134590314
344	0.1343008647
345	0.1340111769
346	0.1335020157
347	0.1331439568
348	0.1329439787
349	0.1327336843
350	0.1323223664
351	0.1318947168
352	0.131551981
353	0.1313119668
354	0.1309802349
355	0.1307146458
356	0.1303982918
357	0.1302047693
358	0.1298453624
359	0.1296741412
360	0.1294310643
361	0.1291214503
362	0.1289006472
363	0.1286148016
364	0.128208353
365	0.1277128917
366	0.127448247
367	0.1268750521
368	0.1265141689
369	0.1260306835
370	0.125807487
371	0.1254555445
372	0.1252501378
373	0.1249842919
374	0.1245442629
375	0.1240529189
376	0.123705864
377	0.1233195433
378	0.1230138082
379	0.1227519329
380	0.1223335358
381	0.1221403525
382	0.1219090682
383	0.1215588129
384	0.1213155068
385	0.1210582165
386	0.1208603015
387	0.1206398927
388	0.1205078639
389	0.1203043277
390	0.120064497
391	0.1198700025
392	0.1195352261
393	0.1192746713
394	0.1189128344
395	0.1185830373
396	0.1183005846
397	0.1180663109
398	0.1179221318
399	0.1176627691
400	0.1174098345
401	0.1171661157
402	0.116750277
403	0.1164046801
404	0.1162074713
405	0.1158397014
406	0.1155856573
407	0.1154038356
408	0.115120576
409	0.1147361352
410	0.1143950866
411	0.114125802
412	0.113823423
413	0.1134873537
414	0.1131594181
415	0.1129439061
416	0.1126495141
417	0.1123262736
418	0.1120278652
419	0.1117452108
420	0.1114814465
421	0.1111534926
422	0.11092738
423	0.1106604796
424	0.1104103969
425	0.1102500512
426	0.1101224606
427	0.1099020151
428	0.1095704299
429	0.1093290402
430	0.1091359762
431	0.1089569422
432	0.1087622367
433	0.1085463487
434	0.1083682134
435	0.1082222003
436	0.1079659462
437	0.1076128116
438	0.1074724197
439	0.1072564859
440	0.1070663746
441	0.1068353653
442	0.1066105457
443	0.106339363
444	0.1060819351
445	0.1058047735
446	0.1055716001
447	0.105435729
448	0.1053122557
449	0.1050221095
450	0.1048298982
451	0.1046298284
452	0.1043698788
453	0.1042051315
454	0.1040704434
455	0.1038705294
456	0.1037162451
457	0.1034181852
458	0.1031923202
459	0.1028273839
460	0.1025764575
461	0.1024736808
462	0.1022251753
463	0.1020269486
464	0.1017791124
465	0.1015613171
466	0.1013615773
467	0.1011811953
468	0.1008732319
469	0.1005366582
470	0.1002967358
471	0.1001032866
472	0.09991733844
473	0.09972718129
474	0.09947928099
475	0.09924582335
476	0.09908892558
477	0.09885564217
478	0.09862384429
479	0.09846423222
480	0.0983429597
481	0.09812120291
482	0.09800902697
483	0.09783886029
484	0.09765201349
485	0.09734894679
486	0.0971186161
487	0.0969213339
488	0.09677239565
489	0.09664080693
490	0.09639316339
491	0.09616107207
492	0.09598601781
493	0.0956815848
494	0.09553254568
495	0.09535237459
496	0.09521651268
497	0.0950882985
498	0.09475488846
499	0.09456011882
500	0.09437169478
501	0.09424373737
502	0.09398442965
503	0.09386629325
504	0.09368813955
505	0.09357113105
506	0.09343044574
507	0.09319972992
508	0.0930692416
509	0.09283450934
510	0.09265470505
511	0.0923569936
512	0.09219851861
513	0.0920270498
514	0.09180201017
515	0.09165512598
516	0.09141525855
517	0.09124034185
518	0.09101717289
519	0.09082014744
520	0.09062645986
521	0.09048498594
522	0.09024212911
523	0.09009597852
524	0.08985228722
525	0.08970429347
526	0.0895553919
527	0.08936915031
528	0.08912526644
529	0.08905717043
530	0.08895513645
