iter	Logloss
0	0.6846631857
1	0.6753006715
2	0.6676101685
3	0.6591942127
4	0.6521520615
5	0.6452283126
6	0.6380888132
7	0.6303014755
8	0.6225547791
9	0.6147064062
10	0.6075426982
11	0.6007739581
12	0.5947698813
13	0.5866905726
14	0.5802216897
15	0.5748499357
16	0.5684579336
17	0.5619966434
18	0.5560756463
19	0.5497857607
20	0.5440216431
21	0.5376601953
22	0.5329473202
23	0.5272674561
24	0.5219997993
25	0.5161857605
26	0.5095553765
27	0.506036465
28	0.5010344432
29	0.495728346
30	0.490943762
31	0.485985059
32	0.4812831879
33	0.4765951083
34	0.4722188069
35	0.4664942668
36	0.4615723537
37	0.457704324
38	0.4530162078
39	0.4482917419
40	0.4444406216
41	0.439844645
42	0.4353598815
43	0.431051401
44	0.4264031924
45	0.4223090319
46	0.4180827874
47	0.414706817
48	0.4110972331
49	0.4077618672
50	0.4045962921
51	0.4013070693
52	0.3975733244
53	0.3932058995
54	0.3896592214
55	0.3860976146
56	0.382648358
57	0.3794884315
58	0.3766780633
59	0.3734682523
60	0.3707491068
61	0.3671225401
62	0.3643593421
63	0.3613733879
64	0.358584514
65	0.3557563195
66	0.3525287922
67	0.3496091549
68	0.3469252953
69	0.3447907521
70	0.342422412
71	0.3398362673
72	0.3373650404
73	0.3349560958
74	0.3326925131
75	0.3303470978
76	0.3271485842
77	0.3248459376
78	0.3230322324
79	0.3207555918
80	0.3187020742
81	0.3165175365
82	0.3140385701
83	0.3119463187
84	0.3095531464
85	0.30720001
86	0.3057289857
87	0.3039016357
88	0.3016666266
89	0.2997860725
90	0.2977505831
91	0.2953067009
92	0.2935880698
93	0.2919737559
94	0.2902655968
95	0.2881716031
96	0.2863085453
97	0.2850171236
98	0.2831019255
99	0.2807786648
100	0.2788523894
101	0.2776272664
102	0.2757125634
103	0.2738650395
104	0.2720102897
105	0.2705004399
106	0.2691605274
107	0.2676064785
108	0.2657544796
109	0.2641504911
110	0.262573609
111	0.2613983888
112	0.259569975
113	0.2578909947
114	0.257034155
115	0.2553368532
116	0.2543567694
117	0.2530012131
118	0.2514976722
119	0.2502470383
120	0.24899778
121	0.2476793069
122	0.2461121266
123	0.245221193
124	0.2437727085
125	0.2423233436
126	0.2409158487
127	0.2399332523
128	0.2386528162
129	0.2374306825
130	0.2364152762
131	0.2351564627
132	0.2337646851
133	0.2327499023
134	0.2314020854
135	0.2303698246
136	0.2295814477
137	0.2287845978
138	0.2272832027
139	0.2260752091
140	0.2250210505
141	0.2236069716
142	0.2225027818
143	0.2214188576
144	0.2203337596
145	0.2193926298
146	0.2184602297
147	0.2175509563
148	0.2167841104
149	0.2155726506
150	0.2146580403
151	0.2140338054
152	0.2130141625
153	0.2119976007
154	0.211005431
155	0.2099292828
156	0.2089093648
157	0.2079947178
158	0.2071276811
159	0.2063743335
160	0.2056905306
161	0.2044955217
162	0.203658324
163	0.2025901721
164	0.2016533338
165	0.2008361083
166	0.1998289182
167	0.1989242847
168	0.1981479571
169	0.1974319311
170	0.1965345236
171	0.1958396251
172	0.1953134904
173	0.1947366641
174	0.1938529748
175	0.19302834
176	0.1922725164
177	0.1914857718
178	0.1908418765
179	0.190044073
180	0.1893693484
181	0.1884441926
182	0.187883267
183	0.1871687999
184	0.1864273365
185	0.185525564
186	0.1847474575
187	0.183904281
188	0.1834524228
189	0.1826144915
190	0.1821677685
191	0.1812476928
192	0.180828608
193	0.1802661602
194	0.1796901409
195	0.1788976926
196	0.1781728818
197	0.1775708932
198	0.1771055001
199	0.1766409874
200	0.176280902
201	0.1757381146
202	0.1753034041
203	0.1747295123
204	0.1744365142
205	0.1739253631
206	0.1731888698
207	0.1724146329
208	0.1717221187
209	0.1710011042
210	0.1703508817
211	0.1696495826
212	0.1690230736
213	0.1685692714
214	0.1681556335
215	0.1677961716
216	0.1670510402
217	0.166535891
218	0.1659192672
